,cb2020,borocode,boroname,ct2020,bctcb2020,geoid,shape_leng,shape_area,geometry,land_cvr_0,land_cvr_1,land_cvr_2,land_cvr_3,land_cvr_4,land_cvr_5,land_cvr_6,land_cvr_7,land_cvr_8,land_cvr_1_rb,land_cvr_2_rb,land_cvr_3_rb,land_cvr_4_rb,land_cvr_5_rb,land_cvr_6_rb,land_cvr_7_rb,land_cvr_8_rb,elev_mean,elev_min,elev_max,elev_q1,elev_q3,ntaname,elev_mean_ct,elev_min_ct,elev_max_ct,elev_q1_ct,elev_q3_ct,catch_basin_count,catch_basin_density,sub_entr_count,rw_length,rw_avg_elev,lake_res_ind,pond_ind,river_ind,stream_ind,wl_marsh_ind,beach_shore_ind,bay_ocean_ind
0,1000,1,Manhattan,000100,10001001000,360610001001000,6627.85831809,1204254.89341,"POLYGON ((973172.6661987305 194632.34802246094, 973310.6301879883 194502.0484008789, 973330.0048217773 194518.26501464844, 973793.2913818359 194068.60418701172, 973686.0413818359 193957.69940185547, 973649.4212036133 193713.28161621094, 973435.6619873047 193713.84899902344, 973341.3598022461 193621.21459960938, 973177.1806030273 193777.55279541016, 973087.707824707 193872.4653930664, 972814.133605957 194139.25219726562, 972674.0187988281 193997.6387939453, 973182.6510009766 193470.6453857422, 972697.7225952148 193015.7984008789, 972139.7578125 193587.1323852539, 972149.9810180664 193597.26599121094, 972144.5355834961 193603.04638671875, 972408.7985839844 193871.24841308594, 972336.4364013672 193943.69842529297, 972854.2274169922 194487.60620117188, 972936.7645874023 194405.81439208984, 973072.2192382812 194535.89001464844, 973050.4537963867 194558.35260009766, 973044.6994018555 194555.11560058594, 973010.1719970703 194592.87982177734, 973025.6373901367 194606.9067993164, 973061.9630126953 194568.78259277344, 973057.6470336914 194564.466796875, 973078.9938354492 194542.3953857422, 973172.6661987305 194632.34802246094))",0.550043,0.115353,0.098741,0.000914,0.001876,0.119193,0.000711,0.11317,0.0,0.256364,0.219445,0.002031,0.004169,0.264899,0.00158,0.251513,0.0,3.1,0,14,0,7,The Battery-Governors Island-Ellis Island-Liberty Island,1.2,0,20,0,0,,,,,,0,0,1,0,0,0,1
1,1001,1,Manhattan,000100,10001001001,360610001001001,4395.19018343,640166.352288,"POLYGON ((972081.7880249023 190733.4672241211, 972184.765625 190551.13598632812, 972398.541809082 190683.2208251953, 972384.9670410156 190709.01678466797, 972407.1726074219 190721.47619628906, 972448.8931884766 190651.34259033203, 972425.1556396484 190638.75439453125, 972410.0498046875 190663.9307861328, 972195.4161987305 190532.77978515625, 972181.7883911133 190370.3114013672, 972147.208190918 190215.68041992188, 972054.6027832031 190148.63439941406, 971940.7106323242 190124.5626220703, 971830.1342163086 190153.5765991211, 971416.6680297852 190420.39520263672, 971270.5122070312 190648.48120117188, 971083.6218261719 190524.0225830078, 971013.4880371094 190634.79821777344, 971053.4104003906 190659.25518798828, 971096.2098388672 190594.15661621094, 971245.7940063477 190687.0557861328, 971160.3843994141 190820.3432006836, 971185.2930297852 190836.94219970703, 971183.8558349609 190904.4871826172, 971165.1842041016 190937.85119628906, 971161.9396362305 190943.6489868164, 971156.8643441533 190953.57003425367, 971153.4206028435 190964.16845006507, 971151.6949534471 190975.17789628552, 971151.730761497 190986.3217057645, 971153.5271271378 190997.31983480565, 971157.0389077388 191007.89590065886, 971162.1778523277 191017.78412701306, 971168.8148193359 191026.73602294922, 971176.9674012214 191033.72224128852, 971186.058191355 191039.4344538924, 971195.8897676637 191043.74861028383, 971206.2486206345 191046.57102117012, 971216.9097900391 191047.8403930664, 971445.7720336914 191065.4451904297, 971452.5983886719 191074.4276123047, 971466.8967927673 191073.47920913636, 971481.0627405945 191071.3182486081, 971494.9935913086 191067.9603881836, 971513.9180012478 191059.80682327133, 971532.1198120117 191050.14721679688, 971879.8173828125 190874.13079833984, 972081.7880249023 190733.4672241211))",0.531279,0.098717,0.10769,0.033843,0.004596,0.071729,0.0,0.152147,0.0,0.210609,0.229753,0.072203,0.009805,0.153031,0.0,0.3246,0.0,5.1,0,20,0,11,The Battery-Governors Island-Ellis Island-Liberty Island,1.2,0,20,0,0,,,,,,0,0,0,0,0,1,1
2,1000,1,Manhattan,000201,10002011000,360610002011000,1569.3848232,129276.332277,"POLYGON ((988376.7305908203 199328.6176147461, 987837.8114013672 199274.01721191406, 987825.8056030273 199289.37701416016, 987803.0151977539 199493.6544189453, 987807.7803955078 199519.91241455078, 988171.4617919922 199559.34478759766, 988222.2196044922 199564.87701416016, 988246.1226196289 199567.47021484375, 988312.9338378906 199574.466796875, 988340.9006347656 199350.08081054688, 988376.7305908203 199328.6176147461))",0.251765,0.079286,0.041528,0.0,0.0,0.280771,0.144003,0.202646,0.0,0.105964,0.055501,0.0,0.0,0.375244,0.192457,0.270832,0.0,22.8,0,37,0,31,Chinatown-Two Bridges,14.0,0,37,0,27,2.0,1.547073594039322e-05,,,,0,0,0,0,0,0,0
3,1001,1,Manhattan,000201,10002011001,360610002011001,1594.26285534,139360.445114,"POLYGON ((988392.3998413086 199070.29779052734, 988285.3010253906 199057.11199951172, 988259.8602294922 199053.97979736328, 988181.2794189453 199044.30499267578, 988156.9686279297 199041.31158447266, 987874.4252319336 199006.525390625, 987848.5123901367 199256.93878173828, 987837.8114013672 199274.01721191406, 988376.7305908203 199328.6176147461, 988392.3998413086 199070.29779052734))",0.221387,0.142834,0.008955,0.0,0.0,0.301834,0.148332,0.176659,0.0,0.183447,0.011501,0.0,0.0,0.387656,0.190508,0.226889,0.0,22.6,0,35,26,31,Chinatown-Two Bridges,14.0,0,37,0,27,2.0,1.4351274483688357e-05,,,,0,0,0,0,0,0,0
4,2000,1,Manhattan,000201,10002012000,360610002012000,2055.29596105,263308.43936,"POLYGON ((988422.1864013672 198807.18798828125, 988449.2886352539 198567.6864013672, 988129.9410400391 198533.92541503906, 988102.9415893555 198530.6005859375, 987925.4125976562 198508.74060058594, 987922.4088134766 198538.06518554688, 987905.7537841797 198700.65618896484, 987887.6807861328 198877.10998535156, 987885.190612793 198901.4197998047, 987883.0303955078 198922.51098632812, 987874.4252319336 199006.525390625, 988156.9686279297 199041.31158447266, 988181.2794189453 199044.30499267578, 988259.8602294922 199053.97979736328, 988285.3010253906 199057.11199951172, 988392.3998413086 199070.29779052734, 988399.7346191406 199005.50860595703, 988401.5845947266 198989.16760253906, 988422.1864013672 198807.18798828125))",0.185888,0.483037,0.029179,0.001401,0.0,0.08051,0.118579,0.101406,0.0,0.59333,0.035842,0.001721,0.0,0.098893,0.145654,0.12456,0.0,20.3,0,36,20,27,Chinatown-Two Bridges,14.0,0,37,0,27,3.0,1.1393482135596672e-05,,,,0,0,0,0,0,0,0
5,2001,1,Manhattan,000201,10002012001,360610002012001,1823.17099837,202044.840242,"POLYGON ((988468.3774414062 198396.69018554688, 988490.9428100586 198204.77459716797, 988095.3049926758 198140.33880615234, 988057.5272216797 198134.18579101562, 987959.2936401367 198118.18701171875, 987925.4125976562 198508.74060058594, 988102.9415893555 198530.6005859375, 988129.9410400391 198533.92541503906, 988449.2886352539 198567.6864013672, 988468.3774414062 198396.69018554688))",0.207433,0.130466,0.014541,0.0,0.0,0.157053,0.151001,0.339507,0.0,0.164612,0.018347,0.0,0.0,0.198157,0.190521,0.428364,0.0,12.5,0,23,9,19,Chinatown-Two Bridges,14.0,0,37,0,27,6.0,2.9696378253527663e-05,,,,0,0,0,0,0,0,0
6,2002,1,Manhattan,000201,10002012002,360610002012002,1141.73915066,16906.4530805,"POLYGON ((988496.2644042969 198169.45959472656, 988478.4877929688 198166.85998535156, 987961.606628418 198091.26098632812, 987959.2936401367 198118.18701171875, 988057.5272216797 198134.18579101562, 988095.3049926758 198140.33880615234, 988490.9428100586 198204.77459716797, 988496.2644042969 198169.45959472656))",0.724084,0.0,0.0,0.0,0.0,0.0,0.271008,0.004908,0.0,0.0,0.0,0.0,0.0,0.0,0.982212,0.017788,0.0,2.9,0,12,0,9,Chinatown-Two Bridges,14.0,0,37,0,27,1.0,5.914901222855584e-05,,,,0,0,0,0,0,0,0
7,2003,1,Manhattan,000201,10002012003,360610002012003,1157.16468982,19596.7983376,"POLYGON ((988501.4545898438 198136.33959960938, 988307.2282104492 198106.0203857422, 987963.6080322266 198052.38018798828, 987962.5942382812 198074.40100097656, 987961.606628418 198091.26098632812, 988478.4877929688 198166.85998535156, 988496.2644042969 198169.45959472656, 988498.7676391602 198154.33862304688, 988501.4545898438 198136.33959960938))",0.691432,0.0,0.0,0.0,0.0,0.0,0.308568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9,0,12,0,8,Chinatown-Two Bridges,14.0,0,37,0,27,,,,,,0,0,0,0,0,0,0
8,2004,1,Manhattan,000201,10002012004,360610002012004,1841.72600821,201818.786878,"POLYGON ((988504.1384277344 198118.3380126953, 988548.2182006836 197770.37481689453, 987978.8082275391 197698.24542236328, 987963.8735961914 198046.6033935547, 987963.6080322266 198052.38018798828, 988307.2282104492 198106.0203857422, 988501.4545898438 198136.33959960938, 988504.1384277344 198118.3380126953))",0.214147,0.0,0.0,0.0,0.001796,0.375767,0.036703,0.371587,0.0,0.0,0.0,0.0,0.002285,0.478164,0.046705,0.472845,0.0,5.8,0,10,7,7,Chinatown-Two Bridges,14.0,0,37,0,27,,,,,,0,0,1,0,0,0,0
9,1000,1,Manhattan,000202,10002021000,360610002021000,1187.88411281,57115.9781168,"POLYGON ((989804.9920043945 199396.6489868164, 989991.3466186523 199319.82501220703, 989558.0010375977 199244.33959960938, 989538.3226318359 199502.95782470703, 989804.9920043945 199396.6489868164))",0.513733,0.009223,0.000532,0.0,0.0,0.189149,0.178292,0.109072,0.0,0.018967,0.001094,0.0,0.0,0.388982,0.366655,0.224305,0.0,11.0,0,30,0,21,Lower East Side,6.9,0,38,0,12,1.0,1.75082355756044e-05,,,,0,0,0,0,0,0,0
10,1003,1,Manhattan,000202,10002021003,360610002021003,732.841436412,26020.5702505,"POLYGON ((988376.7305908203 199328.6176147461, 988340.9006347656 199350.08081054688, 988312.9338378906 199574.466796875, 988489.5714111328 199592.89178466797, 988376.7305908203 199328.6176147461))",0.445208,0.315286,9.1e-05,0.0,0.0,0.0,0.23215,0.007265,0.0,0.568296,0.000164,0.0,0.0,0.0,0.418445,0.013095,0.0,20.0,0,38,0,37,Lower East Side,6.9,0,38,0,12,2.0,7.68622663049273e-05,,,,0,0,0,0,0,0,0
11,1004,1,Manhattan,000202,10002021004,360610002021004,1158.41288745,82791.7222609,"POLYGON ((988718.2456054688 199114.47119140625, 988392.3998413086 199070.29779052734, 988376.7305908203 199328.6176147461, 988686.2050170898 199370.9174194336, 988718.2456054688 199114.47119140625))",0.197077,0.425591,0.010869,0.0,0.0,0.059549,0.191436,0.115478,0.0,0.530052,0.013537,0.0,0.0,0.074165,0.238424,0.143822,0.0,25.2,0,35,24,34,Lower East Side,6.9,0,38,0,12,2.0,2.415700441280153e-05,,,,0,0,0,0,0,0,0
12,2000,1,Manhattan,000202,10002022000,360610002022000,2178.77742688,157313.542923,"POLYGON ((989275.0814208984 198475.2933959961, 989215.0521850586 198469.65899658203, 989173.4501953125 198465.75421142578, 989157.6278076172 198464.26879882812, 989141.9334106445 198462.7960205078, 989119.7131958008 198460.7103881836, 989098.9819946289 198458.76458740234, 989075.2817993164 198456.54022216797, 989045.1848144531 198453.7153930664, 989013.7883911133 198450.76818847656, 988985.950012207 198448.1553955078, 988958.6018066406 198445.58862304688, 988934.341796875 198443.31158447266, 988907.0838012695 198440.75299072266, 988874.8959960938 198437.9501953125, 988914.5274047852 198488.0932006836, 988880.8187866211 198786.39862060547, 989126.0046386719 198822.45880126953, 989095.0787963867 199172.7485961914, 989154.3720092773 199181.9183959961, 989170.3381958008 199184.38739013672, 989188.2869873047 199187.16339111328, 989251.9612426758 198541.107421875, 989275.0814208984 198475.2933959961))",0.47658,0.274972,0.020161,0.0,0.0,0.142165,0.015458,0.070664,0.0,0.525337,0.038518,0.0,0.0,0.271608,0.029533,0.135004,0.0,10.8,0,34,0,20,Lower East Side,6.9,0,38,0,12,1.0,6.356731794474099e-06,,,,0,0,0,0,0,0,0
