latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
40.90536,-73.40283,40.90536,-73.40283,2012 Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYSUF07608,,,,NY,Suffolk County,,Yes,40.90536,-73.40283,6489,,7608,24,5,2,on fence,,9.8,2,,,,,,4,,,Coastal,10/29/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.89243,-73.37453,40.89243,-73.37453,2012 Sandy,Seed line,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYSUF07609,,,,NY,Suffolk County,,Yes,40.89243,-73.37453,6490,,7609,24,5,1,on outside of building,,9.6,2,,,,,,4,,,Coastal,10/29/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.92593,-73.3571,40.92593,-73.3571,2012 Sandy,Seed line,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYSUF07610,,,,NY,Suffolk County,,Yes,40.92593,-73.3571,6491,,7610,24,5,1,on outside of building,,9.8,2,,,,,,4,,,Coastal,10/30/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.9541,-73.39812,40.9541,-73.39812,2012 Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYSUF07611,,,,NY,Suffolk County,,Yes,40.9541,-73.39812,6492,,7611,24,5,2,on outside of shed,,10,2,,,,,,4,,,Coastal,10/30/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.92305,-73.29637,40.92305,-73.29637,2012 Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYSUF07612,,,,NY,Suffolk County,,Yes,40.92305,-73.29637,6493,,7612,24,5,2,on mailbox post,,7.9,2,,,,,,4,,,Coastal,10/29/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.89697,-73.22364,40.89697,-73.22364,2012 Sandy,Seed line,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYSUF07613,,,,NY,Suffolk County,,Yes,40.89697,-73.22364,6494,,7613,24,5,1,on side of fence,,8.9,2,,,,,,4,,,Coastal,10/29/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.92173,-73.14967,40.92173,-73.14967,2012 Sandy,Seed line,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYSUF07614,,,,NY,Suffolk County,,Yes,40.92173,-73.14967,6495,,7614,24,5,1,on side of fence,,9.2,2,,,,,,4,,,Coastal,10/29/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.95901,-73.02141,40.95901,-73.02141,2012 Sandy,Seed line,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYSUF07615,,,,NY,Suffolk County,,Yes,40.95901,-73.02141,6496,,7615,24,5,1,on utility pole,,8.6,2,,,,,,4,,,Coastal,10/29/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.98731,-72.61571,40.98731,-72.61571,2012 Sandy,Seed line,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYSUF07616,,,,NY,Suffolk County,,Yes,40.98731,-72.61571,6497,,7616,24,5,1,on guard booth,,7.3,2,,,,,,4,,,Coastal,10/29/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.99369,-72.53757,40.99369,-72.53757,2012 Sandy,Seed line,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYSUF07617,,,,NY,Suffolk County,,Yes,40.99369,-72.53757,6498,,7617,24,5,1,on side of house,,8.8,2,,,,,,4,,,Coastal,10/29/2012 12:00:00 AM,,2,36,,,,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
